firstname,male,female
a,39,17
a'ala,1,0
a'dia,0,1
a'eau,1,0
a'ja,0,1
a'jiniyaz,1,0
a'lelia,0,2
a'maal,0,1
a'me,0,1
a'quonesia,0,1
a'rese,0,1
a'shawn,1,0
a*m*e,0,1
a-1,1,0
a-100,0,0
a-ca-oo-mah-ca-ye,1,0
a-do,1,0
a-fu,0,1
a-group,0,0
a-l-x,1,0
a-lee,1,0
a-lin,0,1
a-love,0,1
a-maze-ing,0,0
a-mei,0,1
a-plus,1,0
a-q,1,0
a-reece,1,0
a-senee-ki-wakw,0,0
a-sun,0,1
a-trak,1,0
a1one,1,0
aa,1,0
aaajiao,1,0
aaamer,0,0
aabavanan,1,0
aabed-el,0,0
aabid,1,0
aacharya,1,0
aad,10,0
aadam,1,0
aadan-gurey,1,0
aadar,1,0
aadarsh,1,0
aadel,1,1
aadesh,3,0
aadhavan,1,0
aadhi,1,0
aadi,1,0
aadil,3,0
aaditi,0,1
aadnya,0,0
aadukalam,2,0
aadya,0,1
aaf,0,0
aafan,0,0
aafia,0,1
aafje,0,1
aafke,0,2
aage,20,0
aagje,0,2
aagot,0,5
aagt,0,1
aahana,0,1
aai,0,1
aaital,0,1
aaja,0,1
aaju,0,1
aakanksha,0,3
aakash,5,0
aake,2,0
aalap,1,0
aaldert,1,0
aale,1,0
aaley,1,0
aalias,1,0
aaliyah,0,1
aalok,0,0
aalt,1,0
aaltje,0,1
aalviar,1,0
aaly,0,0
aamani,0,1
aameen,0,0
aamer,23,0
aamina,0,1
aaminah,0,0
aamir,19,0
aamito,0,1
aamna,0,1
aams,1,0
aanaahad,1,0
aananda,0,0
aanchal,0,3
aanders,1,0
aang,1,0
aani,0,0
aanjjan,1,0
aant,1,0
aanund,2,0
aapo,2,0
aaqib,2,0
aar,2,0
aaradhna,0,1
aaran,2,0
aarathi,0,1
aarav,3,0
aare,1,0
aarele,1,0
aaren,1,0
aari,1,0
aaric,1,0
aarif,2,0
aarik,1,0
aariz,0,0
aarne,13,0
aarni,1,0
aarno,5,0
aarnoud,1,0
aaro,4,0
aarohi,0,1
aarom,1,0
aaron,924,4
aaronetta,0,1
aaronic,1,0
aarre,2,0
aart,6,0
aarthi,0,3
aarthie,0,1
aarti,0,11
aarudhra,1,0
aarushi,0,1
aarya,1,2
aaryan,3,0
aaryn,0,2
aarón,16,0
aasa,0,1
aasam,1,0
aase,0,3
aasha,0,1
aashif,1,0
aashiq,2,0
aashish,4,0
aashka,0,1
aashritha,0,1
aasia,0,2
aasif,2,0
aasim,3,0
aasiya,0,2
aaslaug,0,1
aasmah,0,1
aasmund,4,0
